CONT,ID,SEGMENT,DENSITY,X,Y,LAT,LONG
94,125,1,6,-0.174406862,0.462751343,0.605988017,-0.14390724
94,125,1,6,-0.174077996,0.463015248,0.606293444,-0.144256325
94,125,1,6,-0.173738279,0.463175279,0.606482511,-0.144619926
94,125,1,3,-0.173667589,0.463320281,0.606647345,-0.144692643
94,125,1,6,-0.173849105,0.464506665,0.607975748,-0.144464785
94,125,1,4,-0.17406285,0.46528785,0.608848408,-0.144212658
94,125,1,6,-0.174075408,0.465688921,0.609299279,-0.144188451
94,125,1,2,-0.173968602,0.466030992,0.609687145,-0.144295096
94,125,1,6,-0.173656433,0.466535915,0.610264059,-0.144619911
94,125,1,4,-0.173259271,0.467408818,0.611257936,-0.14502716
94,125,1,6,-0.173052958,0.467980425,0.611907587,-0.145235644
94,125,1,6,-0.173025056,0.46839271,0.612373004,-0.145255032
94,125,1,3,-0.172918028,0.46874707,0.612775403,-0.145361686
94,125,1,6,-0.172530156,0.469060142,0.613139008,-0.145773773
94,125,1,4,-0.172096247,0.469243114,0.613357185,-0.146239194
94,125,1,6,-0.171884241,0.469500182,0.613652906,-0.146462223
94,125,1,4,-0.171720114,0.469999006,0.614220143,-0.146627064
94,125,1,6,-0.171358361,0.470346872,0.614622542,-0.147010067
94,125,1,5,-0.170946405,0.470551739,0.61486495,-0.147451242
94,125,1,1,-0.170888764,0.47071786,0.615054041,-0.1475094
94,125,1,6,-0.17099962,0.470943802,0.61530613,-0.147383364
94,125,1,4,-0.171271916,0.471152135,0.615533989,-0.147082779
94,125,1,6,-0.172295034,0.471382879,0.615766713,-0.145967693
94,125,1,3,-0.172728384,0.471586522,0.61598487,-0.145492585
94,125,1,6,-0.173036757,0.471963089,0.616401815,-0.145148382
94,125,1,2,-0.173158145,0.472304988,0.616784807,-0.145007777
94,125,1,5,-0.173249753,0.473134986,0.617720498,-0.144886573
94,125,1,3,-0.173107266,0.473663105,0.618321657,-0.14502715
94,125,1,5,-0.172856927,0.47421415,0.618951929,-0.145284101
94,125,1,6,-0.172550091,0.474515183,0.619301005,-0.145608936
94,125,1,5,-0.172309499,0.47485201,0.619688842,-0.145861015
94,125,1,2,-0.17220281,0.475196309,0.620081555,-0.145967693
94,125,1,5,-0.172456576,0.476345248,0.621375992,-0.145662275
94,125,1,3,-0.172517836,0.477505774,0.622689842,-0.145565312
94,125,1,5,-0.172771169,0.477930828,0.623164956,-0.145279267
94,125,1,6,-0.173226661,0.478309418,0.623581895,-0.144775061
94,125,1,3,-0.173500272,0.478632253,0.623940662,-0.144469638
94,125,1,6,-0.17363317,0.479045573,0.624406104,-0.144314488
94,125,1,2,-0.17372732,0.47976518,0.625220565,-0.144193256
94,125,1,4,-0.173663977,0.481077844,0.626713801,-0.144227227
94,125,1,6,-0.173376007,0.481897979,0.627654326,-0.144518115
94,125,1,4,-0.173245962,0.48210367,0.627891894,-0.144653853
94,125,1,4,-0.17309487,0.48335671,0.629322079,-0.144784777
94,125,1,5,-0.172923806,0.483965615,0.630020216,-0.144954447
94,125,1,4,-0.172402837,0.484829542,0.631018943,-0.145497434
94,125,1,6,-0.172425079,0.485017236,0.631232256,-0.145468335
94,125,1,5,-0.17266426,0.485461066,0.631731613,-0.145196859
94,125,1,4,-0.172652791,0.485749902,0.632061292,-0.145201697
94,125,1,6,-0.17254867,0.485993918,0.632342478,-0.145308361
94,125,1,4,-0.172434189,0.486849473,0.633321797,-0.145410172
94,125,1,6,-0.17186795,0.487566234,0.634155697,-0.146006488
94,125,1,4,-0.171806189,0.487721819,0.634335071,-0.146069504
94,125,1,6,-0.171660367,0.488770734,0.635537405,-0.146200414
94,125,1,2,-0.171697944,0.489246683,0.636080397,-0.146147084
94,125,1,5,-0.171821933,0.489470181,0.636332501,-0.146006468
94,125,1,5,-0.172372711,0.489568318,0.636429463,-0.145405314
94,125,1,4,-0.172754916,0.489810771,0.636696109,-0.144983536
94,125,1,6,-0.172972346,0.489858448,0.636744587,-0.144745968
94,125,1,6,-0.173740084,0.489839025,0.636700953,-0.143912093
94,125,1,3,-0.174534869,0.489989919,0.636851255,-0.143044286
94,125,1,5,-0.174731644,0.49015156,0.637030613,-0.142826105
94,125,1,1,-0.174717818,0.490532627,0.637466959,-0.142830948
94,125,1,5,-0.174444517,0.490945332,0.63794693,-0.143116989
94,125,1,4,-0.174196036,0.491074785,0.63810208,-0.143383631
94,125,1,4,-0.172063146,0.491666447,0.638838991,-0.145686516
94,125,1,6,-0.171841586,0.491792306,0.63898927,-0.145924065
94,125,1,4,-0.1713949,0.492192083,0.639459557,-0.146399182
94,125,1,5,-0.170587714,0.492379991,0.639697107,-0.147271842
94,125,1,2,-0.170297804,0.492567659,0.639920122,-0.147582147
94,125,1,5,-0.169966744,0.493359095,0.64083642,-0.147921502
94,125,1,3,-0.169939305,0.493760079,0.641297011,-0.147940904
94,125,1,6,-0.17001162,0.493905513,0.641461838,-0.147858481
94,125,1,5,-0.170161097,0.493993609,0.641558786,-0.147693635
94,125,1,6,-0.17064614,0.494030623,0.641587895,-0.147165197
94,125,1,3,-0.170818388,0.494098148,0.641660608,-0.146976115
94,125,1,5,-0.170860989,0.494365382,0.641966031,-0.146922796
94,125,1,2,-0.170691684,0.494547206,0.642179344,-0.147102167
94,125,1,6,-0.170417807,0.494629352,0.642281164,-0.147397879
94,125,1,5,-0.169724927,0.494709919,0.642392675,-0.14814934
94,125,1,4,-0.168738069,0.494593454,0.642286001,-0.149225646
94,125,1,6,-0.168343093,0.494706591,0.642426608,-0.149652296
94,125,1,6,-0.167847355,0.494935604,0.642702952,-0.150185572
94,125,1,2,-0.167036131,0.495123396,0.642940506,-0.151063085
94,125,1,5,-0.166919486,0.495344446,0.64319747,-0.151184303
94,125,1,4,-0.166994296,0.495574173,0.643459272,-0.151097056
94,125,1,6,-0.167111907,0.495690893,0.643590151,-0.150966137
94,125,1,6,-0.167535054,0.495890814,0.643808341,-0.150500725
94,125,1,4,-0.16763929,0.496007208,0.643939227,-0.150384351
94,125,1,6,-0.167643309,0.496214076,0.644176796,-0.150374664
